,tamp_eval_tamp_with_q_and_p_easy_1200_p_value_actions_exp_with_first_action_score_time,tamp_eval_tamp_with_q_and_p_easy_1200_q_value_actions_exp_with_first_action_score_time
0,215.018913,6.218469
1,129.204919,167.412593
2,44.533121,99.964591
3,29.538579,33.020605
4,1200.870884,37.051163
5,347.721771,85.691759
6,1201.113294,1200.27163
7,21.559276,10.015888
8,31.470599,3.656461
9,11.124096,26.046457
10,4.541812,1200.159116
11,1200.169644,1201.381724
12,14.893687,22.657786
13,19.376534,59.243027
14,1200.535995,1200.057546
15,15.286998,212.514651
16,71.856296,23.338144
17,74.717394,375.238425
18,28.937185,13.746453
19,1200.34003,1200.258061
20,27.557679,42.104695
21,10.017259,4.462224
22,728.708071,59.542631
23,93.860819,140.531539
24,135.225031,205.700548
25,1203.075872,10.833573
26,3.838651,1205.519333
27,6.934171,13.302061
28,12.135221,12.609324
29,54.878621,21.446398
30,33.390615,21.343474
31,56.383744,32.487632
32,215.718013,975.13851
33,37.607872,25.691114
34,110.471832,132.164544
35,1202.933903,1201.500459
36,407.658133,1202.419464
37,14.278148,33.064518
38,18.213076,15.967141999999999
39,17.102791,6.551984
40,35.314597,80.63144
41,64.613309,35.578817
42,14.887585,27.26444
43,293.745419,1188.517399
44,451.407376,10.76954
45,1200.466585,1200.258578
46,25.358316,13.571654
47,404.362959,312.702567
48,111.34143,82.192495
49,14.899637,9.527426
50,19.752423,31.42791
51,1201.258941,1201.339732
52,12.315668,188.5719
53,10.854663,98.695588
54,15.482053,4.441074
55,51.046608,131.53108
56,484.746825,1064.924509
57,1200.335789,1201.178855
58,1200.401289,1200.084755
59,438.878804,31.375496
60,36.155383,25.037414
61,126.003208,271.985443
62,10.317456,615.666272
63,1200.298223,232.018775
