,tamp_eval_tamp_with_q_and_p_mid_mid_1200_p_value_actions_exp_with_first_action_score_time,tamp_eval_tamp_with_q_and_p_mid_mid_1200_q_value_actions_exp_with_first_action_score_time
0,1200.009286,1200.29229
1,197.92244,356.364899
2,1112.131738,369.164577
3,59.020783,991.316871
4,575.196885,1201.636384
5,150.395936,1200.911937
6,591.370997,97.608858
7,282.049636,780.273338
8,767.070062,1200.623852
9,52.584326,543.891796
10,610.150069,1200.18675
11,300.268096,220.833288
12,1201.960258,1201.837728
13,1105.974746,42.518507
14,681.496053,1200.268186
15,166.130238,390.164459
16,724.060736,864.212171
17,1200.002276,1200.175934
18,844.659228,186.866717
19,1200.219648,255.615639
20,270.612385,1200.51999
21,288.721173,111.502332
22,1201.350721,1202.517509
23,1200.821461,1200.555226
24,1200.272614,1200.133589
25,141.832259,420.598649
26,102.402695,1201.028786
27,1200.645837,1203.705508
28,1200.031736,1201.819317
29,59.384363,1200.195364
30,937.044348,1200.270956
31,1200.085094,1013.691021
32,380.27464,186.868339
33,586.25237,516.457485
34,27.548368,591.278447
35,487.832623,858.989332
36,53.055336,1202.486111
37,28.015065,105.641859
38,1203.051581,536.243844
39,601.239213,211.854209
40,1202.297025,232.530948
41,226.056287,1200.17326
42,206.14736,303.081789
43,240.206075,95.125558
44,1200.709313,1202.109271
45,1201.050857,1200.587845
46,311.915728,1201.224459
47,1200.909782,1201.775709
48,1039.03413,506.49604
49,586.376492,1200.316503
50,65.80524,98.068282
51,46.412746,1051.09643
52,81.783634,1200.502044
53,359.932001,1200.237183
