,tamp_eval_tamp_with_q_and_p_easy_1200_p_value_actions_exp_with_first_action_score_time,els_v2_eval_els_easy_1200_els_actions_exp_with_first_action_score_time
0,215.018913,300.218165
1,129.204919,552.379774
2,44.533121,211.059579
3,29.538579,62.342381
4,1200.870884,1200.253382
5,347.721771,135.400786
6,1201.113294,1200.596465
7,21.559276,273.365225
8,31.470599,135.94364
9,11.124096,188.138959
10,4.541812,31.213353
11,1200.169644,1200.168958
12,14.893687,364.560184
13,19.376534,55.703282
14,1200.535995,1200.579984
15,15.286998,344.547786
16,71.856296,216.99939
17,74.717394,719.355366
18,28.937185,132.129508
19,1200.34003,1200.583761
20,27.557679,184.825832
21,10.017259,25.550212
22,728.708071,1200.309132
23,93.860819,271.134842
24,135.225031,1200.642384
25,1203.075872,157.334347
26,3.838651,167.261298
27,6.934171,112.49837
28,12.135221,85.937007
29,54.878621,424.369666
30,33.390615,345.140421
31,56.383744,111.959384
32,215.718013,284.562476
33,37.607872,179.740882
34,110.471832,538.789611
35,1202.933903,1200.971329
36,407.658133,1173.387094
37,14.278148,233.849337
38,18.213076,50.580237
39,17.102791,26.758072
40,35.314597,405.124987
41,64.613309,127.298203
42,14.887585,393.063748
43,293.745419,98.182034
44,451.407376,77.83214100000001
45,1200.466585,1200.528661
46,25.358316,489.535316
47,404.362959,586.914905
48,111.34143,213.714434
49,14.899637,107.267247
50,19.752423,86.522527
51,1201.258941,1200.351356
52,12.315668,411.93356
53,10.854663,15.268546
54,15.482053,19.449456
55,51.046608,243.566299
56,484.746825,493.579126
57,1200.335789,1200.466971
58,1200.401289,1200.278641
59,438.878804,169.327606
60,36.155383,188.146997
61,126.003208,1200.422783
62,10.317456,258.692209
63,1200.298223,1200.134817
