,eval_v4_p_v2_p_easy_1200_time,eval_v4_p_v2_p_easy_1200_success,eval_v4_els_v2_els_easy_1200_time,eval_v4_els_v2_els_easy_1200_success
0,87.022492,1,560.499887,1
1,239.933587,1,627.372863,1
2,102.149568,1,784.23825,1
3,74.686397,1,332.484268,1
4,43.969832,1,733.904244,1
5,174.534663,1,308.529869,1
6,1203.031033,0,1200.276359,0
7,41.990259,1,756.095179,1
8,88.543599,1,118.697432,1
9,16.098955,1,511.230454,1
10,803.761269,1,698.706884,1
11,1200.722912,0,1200.751279,0
12,25.477536,1,560.73368,1
13,78.472935,1,173.18649,1
14,1201.892408,0,1200.050667,0
15,22.96194,1,467.254908,1
16,50.346553,1,159.408662,1
17,47.626661,1,438.419212,1
18,1200.765346,0,1200.367244,0
19,501.458985,1,799.140942,1
20,101.592972,1,1053.343625,1
21,268.738433,1,345.194658,1
22,11.907001,1,324.467799,1
23,8.755113,1,440.978958,1
24,30.256977,1,283.323025,1
25,25.864608,1,52.95248,1
26,315.859446,1,575.862706,1
27,14.892425,1,161.84331,1
28,42.165663,1,475.728228,1
29,217.212923,1,1084.965527,1
30,69.394358,1,1200.528807,0
31,90.746978,1,315.247271,1
32,1200.669427,0,1200.779446,0
33,436.169697,1,946.379952,1
34,33.664703,1,229.515815,1
35,35.797841,1,99.349837,1
36,26.164319,1,124.739807,1
37,67.422999,1,1200.990413,0
38,23.57787,1,301.644376,1
39,25.142213,1,574.404926,1
40,483.780823,1,141.743625,1
41,772.352885,1,81.373132,1
42,1200.525784,0,1200.087843,0
43,677.576445,1,1200.123069,0
44,214.520529,1,604.737319,1
45,1200.838469,0,1200.033702,0
46,28.571525,1,1200.43589,0
47,106.598513,1,96.306277,1
48,27.484599,1,75.169863,1
49,401.271541,1,787.1876,1
50,1201.422521,0,1200.155098,0
51,1200.436538,0,1200.065777,0
52,1200.087434,0,365.515621,1
53,544.672232,1,981.002593,1
54,48.043406,1,482.282955,1
