,eval_v4_p_v2_p_easy_1200_time,eval_v4_p_v2_p_easy_1200_success,eval_v4_q_v2_q_easy_1200_time,eval_v4_q_v2_q_easy_1200_success
0,87.022492,1,246.092844,1
1,239.933587,1,389.334405,1
2,102.149568,1,597.506907,1
3,74.686397,1,97.721379,1
4,43.969832,1,96.731549,1
5,174.534663,1,305.137187,1
6,1203.031033,0,1209.353473,0
7,41.990259,1,44.6502,1
8,88.543599,1,10.700646,1
9,16.098955,1,54.045644,1
10,803.761269,1,1201.3781,0
11,1200.722912,0,1203.763375,0
12,25.477536,1,17.084509,1
13,78.472935,1,106.271455,1
14,1201.892408,0,1200.113017,0
15,22.96194,1,188.048568,1
16,50.346553,1,52.700179,1
17,47.626661,1,32.020579,1
18,1200.765346,0,1201.054825,0
19,501.458985,1,573.076693,1
20,101.592972,1,816.692488,1
21,268.738433,1,28.571605,1
22,11.907001,1,24.064657,1
23,8.755113,1,21.845019,1
24,30.256977,1,17.264353,1
25,25.864608,1,76.064035,1
26,315.859446,1,683.77486,1
27,14.892425,1,41.178501,1
28,42.165663,1,50.028629,1
29,217.212923,1,1202.311688,0
30,69.394358,1,689.864158,1
31,90.746978,1,226.60378,1
32,1200.669427,0,1201.646627,0
33,436.169697,1,1201.224398,0
34,33.664703,1,89.065903,1
35,35.797841,1,41.790363,1
36,26.164319,1,25.10491,1
37,67.422999,1,15.065147,1
38,23.57787,1,156.098494,1
39,25.142213,1,48.053912,1
40,483.780823,1,1204.516876,0
41,772.352885,1,16.337992,1
42,1200.525784,0,1202.767188,0
43,677.576445,1,546.069735,1
44,214.520529,1,227.355473,1
45,1200.838469,0,1206.103342,0
46,28.571525,1,398.02506,1
47,106.598513,1,52.317004,1
48,27.484599,1,33.156716,1
49,401.271541,1,146.924977,1
50,1201.422521,0,1201.205041,0
51,1200.436538,0,1202.212201,0
52,1200.087434,0,62.928388,1
53,544.672232,1,200.230885,1
54,48.043406,1,73.956842,1
