,eval_v2_tamp_p_value_hard_1200_time,eval_v2_els_v2_els_hard_1200_time
0,1200.402617,1200.291282
1,1200.848472,1200.452763
2,1200.146521,1200.599295
3,1202.009961,1200.638717
4,1200.434783,1200.872834
5,1201.849016,1200.078818
6,1200.489461,1200.812839
7,1202.797879,1200.314156
8,1203.130626,1200.631394
9,1202.206254,1200.232768
10,1200.274633,1200.13083
11,1203.750273,1200.245881
12,1202.392974,1200.841712
13,1200.944799,1200.295859
14,1200.283884,1200.578286
15,1200.768119,1200.623258
16,1078.861824,1200.633126
17,1200.781958,1200.079089
18,1203.441442,1200.595977
